tasks,success_criteria,failure_criteria,gpt-4o-mini.output,gpt-4o-mini.grade
Summarize the given text: 'The quick brown fox jumps over the lazy dog.',"
1. The summary accurately captures the main action in the original text, explicitly mentioning that a fox jumps over a dog.
2. The summary contains no more than 15 words to ensure brevity while still remaining informative.
3. The summary is coherent and maintains grammatical correctness, adhering to standard English sentence structure.
4. The summary avoids any extraneous details that were not present in the original text, focusing solely on the essential elements of the statement.
","
1. The summary misrepresents the main action or subject of the original text, such as changing the animals or their actions.
2. The summary exceeds 15 words, demonstrating a failure to condense the information properly.
3. The summary contains grammatical errors or awkward phrasing that compromises clarity and readability.
4. The summary includes additional information not present in the original text, such as context or details about the animals’ characteristics or environment.
",A fast brown fox leaps over a sluggish dog.,1
Answer the following questions based on the provided context: 'What is the capital of France?',"
1. The answer provided states ""Paris"" as the capital of France, which is the correct and precise response.
2. The answer is presented in a clear and concise manner, utilizing proper grammar and punctuation.
3. The response does not include any extraneous information or unrelated content that would detract from the main question.
4. The answer is formatted appropriately, either as a complete sentence or in a clear list format when necessary.
","
1. The answer states a city other than ""Paris"" as the capital of France, indicating an incorrect response.
2. The response contains grammatical errors or spelling mistakes that make it difficult to understand.
3. The answer includes unnecessary information or details unrelated to the question of France's capital, making it convoluted.
4. The format of the answer is inconsistent with typical expectations (e.g., it is a lengthy paragraph when a simple answer would suffice).
",The capital of France is Paris.,1
Generate a creative story based on the given prompt: 'Once upon a time in a faraway land...',"
1. The story contains a clear beginning, middle, and end, demonstrating a cohesive narrative structure that engages the reader. 
2. The narrative includes at least two well-developed characters, each with distinct personalities and motivations that contribute to the story’s conflict and resolution. 
3. The story is creatively developed from the prompt, incorporating unique plot elements or twists that differentiate it from standard fairy tale tropes. 
4. The language used is descriptive and imaginative, with a minimum of 500 words, effectively immersing the reader in the setting and mood of the story.
5. The story contains an overarching theme or moral that resonates with the reader and enhances the overall impact of the narrative. 
","
1. The story lacks a clear structure, resulting in a confusing narrative that fails to have a discernible beginning, middle, and end. 
2. There are no identifiable characters, or the characters present are poorly developed and lack depth, making it difficult for readers to engage with the story.
3. The narrative fails to creatively expand upon the prompt, instead regurgitating common fairy tale clichés without any unique contributions or variations. 
4. The story is significantly shorter than 500 words or utilizes vague, unengaging language that fails to create a vivid picture for the reader.
5. The story does not convey a meaningful theme or moral, leaving the reader with no clear takeaway from the narrative experience. 
","Once upon a time in a faraway land, nestled between towering mountains that kissed the clouds and a shimmering sea that sparkled like diamonds under the sun, there lay a kingdom called Eldoria. This kingdom was not known for its wealth or power, but for its extraordinary inhabitants—Fables, magical creatures born from the stories untold and imaginations unbridled.

In Eldoria, the Fables each had special gifts that reflected the tales from which they emerged. There were the Whispers, delicate fairies who could carry messages on the wind, and the Gloomlings, shadowy figures skillful in weaving shadows into tangible forms. Among them, there was one peculiar Fable named Eldrin—an old, wise oak tree who had sprouted from the pages of forgotten fairy tales. Eldrin had roots that spread deep through the earth and branches that reached high into the sky, a guardian of wisdom, holding secrets and stories within his bark.

One twilight, as the sun dipped below the horizon, a flickering light appeared among the bushes near Eldrin—glowing like a tiny star fallen to the ground. It was Lilith, a young Fable who looked just like a little girl but with shimmering silver wings that glimmered in the moonlight. A newcomer to Eldoria, Lilith had once lived in a world where dreams were stolen each night by an envious sorceress. She had escaped and journeyed to Eldoria, hoping to find a place where stories thrived and dreams flourished.

“Eldrin,” she whispered, awe sparkling in her eyes. “Do you think dreams can be returned?”

Eldrin rustled his leaves gently, considering her question. “In this kingdom, we are the keepers of dreams, dear Lilith. Yet, dreams can drift, sometimes fading like morning fog. But to reclaim them, we must first understand their essence.”

Lilith's heart raced. Gathering her courage, she asked, “Can you help me find my dreams? They are lost, taken by the sorceress!”

With a low, rumbling voice, Eldrin replied, “To mend what is lost, we must venture beyond the Veil of Stories, where the shadows of forgotten dreams reside.”

The next day, as the sun rose, painting the skies in hues of orange and pink, Lilith climbed onto Eldrin’s outstretched branches, and together they set off on a path carved by the stories of the past. They traversed fields of flowers that sang, climbed hills that echoed with laughter, and crossed rivers that shimmered with starry reflections.

Reaching the Veil of Stories, they pushed through swirling mists, unsettling yet magical. A landscape unfolded—a forest thick with fog and memories, where lost dreams wandered like ethereal shadows. Here, the air was filled with a bittersweet melody, resonating with hopes that had once soared.

As they delved deeper, they encountered the Gloomlings, who danced in the shadows, whispering forgotten tales. Lilith felt a pang in her heart; among the shadows, she spied fragments of her lost dreams, captured in delicate webs spun of twilight.

“Release them!” Lilith cried out to the Gloomlings, her voice trembling with desperation.

The Gloomlings paused, intrigued by the spirit of the little Fable. “To reclaim your dreams, you must give us a tale of your own, one woven from joy and hope,” they said.

Taking a deep breath, Lilith faced the Gloomlings. She shared her story of courage and resilience, of how she had found her way to Eldoria, of the connection formed with Eldrin, and the beauty of dreams that could mend broken hearts. Her words flowed like a river, rich and vibrant, painting visuals that danced among the Gloomlings.

As she spoke, the fog began to clear, and the fragments of lost dreams glowed softly, drawn towards her voice. With each tale told, the shadows released the dreams, weaving them back into the fabric of reality.

Finally, with a burst of light, her dreams shimmered before her, vibrant and alive with possibility. Hundreds of starlit dreams twinkled over the forest, illuminating the way back to Eldoria.

“I can feel them!” Lilith exclaimed, her heart racing. “Thank you, Eldrin! Thank you, Gloomlings!” 

With her dreams restored, she turned to the Gloomlings. “You don’t have to remain in the shadows. Come and share your tales in Eldoria!”

The Gloomlings exchanged glances, unsure but intrigued. One stepped forward, drawn to Lilith's light. “Perhaps the stories of the shadows could join the dreams of the light,” it mused.

And so, a new chapter began in Eldoria, where shadows and light danced together, weaving new stories that revealed the beauty of both dream and darkness—an enchanting realm where every Fable, no matter how peculiar, was embraced for their essence.

From that day on, the kingdom thrived with stories exchanged under Eldrin’s leafy canopy. Eldoria became a sanctuary of dreams, a place where every being learned that even the most delicate of tales could flicker back to life with the warmth of imagination and the spirit of friendship. 

And though the sorceress lurked in the shadows, Eldoria stood unfazed, its magic fueled by the dreams reclaimed, ever ready to inspire the hearts of those willing to listen.",1
"Translate the following text from English to Spanish: 'Good morning, how are you?'","
1. The translated text accurately conveys the meaning of the original English text without any alteration in intent or tone.
2. The translation reads naturally in Spanish, using appropriate grammatical structures and vocabulary.
3. The translated phrase must include all elements present in the original text, including punctuation and capitalization where applicable.
4. There are no spelling or grammatical errors in the Spanish translation.
","
1. The translated text contains any change in meaning or tone compared to the original English text.
2. The translation includes ungrammatical structures or incorrect word choices that make the text sound unnatural in Spanish.
3. Any part of the original text is omitted or altered, leading to an incomplete or misrepresentative translation.
4. The translation has one or more spelling or grammatical errors that compromise its clarity or professionalism.
","'Buenos días, ¿cómo estás?'",0
Identify the sentiment of the given text: 'I am very happy today!',"
1. The system correctly identifies the sentiment of the text as ""positive"" with an accuracy of at least 90%.
2. The system provides a brief explanation of the identified sentiment, indicating that the text expresses joy or happiness.
3. The system correctly classifies sentiment using a defined sentiment scale— such as ""positive,"" ""neutral,"" or ""negative""—and falls into the ""positive"" category for the given text.
4. The system outputs sentiment identification within 2 seconds of input processing while maintaining coherence in output format.
","
1. The system incorrectly identifies the sentiment of the text as ""neutral"" or ""negative,"" resulting in an accuracy of less than 90%.
2. The system fails to provide an explanation or rationale for the identified sentiment, offering a simple label without context.
3. The system miscategorizes the sentiment, for example, stating that the text is ""negative"" despite clear indicators of happiness within the text.
4. The system takes longer than 2 seconds to process the input or generates an incoherent or unformatted output in response to the task.
","The sentiment of the text ""I am very happy today!"" is positive.",0
Classify the following text into predefined categories: 'The stock market is experiencing significant growth.',"
1. The text is classified into one of the predefined categories relevant to the stock market, such as ""Finance,"" ""Economics,"" or ""Investment,"" with a clear justification for the chosen category.
2. The classification algorithm achieves an accuracy rate of at least 90% when evaluated against a labeled dataset of similar text samples.
3. The response time for classifying the text does not exceed 2 seconds, indicating efficiency in processing.
4. The model has an F1 score of at least 0.85, reflecting a balance between precision and recall for the categorized text.
","
1. The text is classified into an incorrect category that does not relate to the stock market, such as ""Health"" or ""Entertainment.""
2. The classification results in a general label like ""Other"" or ""Uncategorized,"" indicating a failure to apply the predefined categories.
3. The model's accuracy rate falls below 70% when evaluated against a labeled dataset, showing poor performance in classifying stock market-related texts.
4. The classification process takes longer than 5 seconds, suggesting inefficiency in processing the text.
","The text can be classified into the following categories:

1. **Finance**
2. **Stock Market**
3. **Economic Trends**
4. **Growth**",0
Extract key information from the provided text: 'John bought 3 apples and 2 oranges.',"
1. The extracted information must correctly identify and quantify the items bought, specifically stating ""3 apples"" and ""2 oranges.""
2. The response must clearly differentiate between the types of fruit mentioned (i.e., apples and oranges).
3. The output should be presented in a structured format, such as a list or simple sentence, that conveys the key information succinctly.
4. The final extracted information should include no additional irrelevant data or inaccuracies that deviate from the original text.
","
1. The extracted information fails to mention either ""3 apples"" or ""2 oranges,"" resulting in incomplete data extraction.
2. The response incorrectly identifies the number of items or types of fruit (e.g., stating ""3 oranges"" instead of ""3 apples"").
3. The output includes extraneous information or unrelated data that is not present in the original text, demonstrating a misunderstanding of the task.
4. The format of the extracted information is disorganized or unclear, making it difficult to determine the key items being conveyed.
","Key information extracted from the text:

- Items purchased: apples and oranges
- Quantity of apples: 3
- Quantity of oranges: 2 
- Buyer: John",1
Provide a detailed explanation of the given concept: 'What is quantum computing?',"
1. The explanation must define quantum computing, including its fundamental principles such as superposition and entanglement, with a clear understanding of how they differ from classical computing.
2. The response should provide at least two real-world applications of quantum computing, detailing how they demonstrate the advantages of quantum over classical computing.
3. The explanation must discuss the current state of quantum computing technology, including advancements and challenges, in a manner that is accessible to an audience with a basic understanding of computing.
4. The response must include a clear, logical structure that organizes the information meaningfully, with appropriate use of headings or formatting to enhance clarity.
5. The explanation should be free from technical jargon or, if technical terms are used, they must be clearly defined within the context of the explanation to ensure comprehension by the intended audience.
","
1. The explanation fails to define quantum computing or inaccurately describes its key principles, leading to confusion about its basic concepts.
2. The response does not include any real-world applications of quantum computing, or provides examples that are irrelevant or inaccurately represented.
3. The explanation lacks coherence, with disorganized content that does not flow logically from one point to another, making it difficult to follow.
4. The text is overloaded with technical jargon without proper definitions, alienating readers who do not have an advanced background in computing or physics.
5. The explanation is excessively brief, omitting essential information or details that are necessary for a comprehensive understanding of quantum computing.
","Quantum computing is a revolutionary paradigm of computation that utilizes the principles of quantum mechanics to process information in ways that classical computers cannot. It is poised to solve certain types of problems much more efficiently than classical systems, leveraging the unique properties of quantum bits—or qubits.

### Key Concepts in Quantum Computing

1. **Qubits**: 
   - In classical computing, information is stored in bits, which can be either 0 or 1. In quantum computing, the basic unit of information is the qubit. A qubit can exist in a state of 0, 1, or any superposition of these states. This means that a qubit can simultaneously represent both 0 and 1, allowing quantum computers to process a vast amount of information in parallel.

2. **Superposition**:
   - Superposition is a fundamental principle of quantum mechanics that allows a qubit to be in multiple states at once. For example, while a classical bit must be either 0 or 1 at any given time, a qubit can be in a combination of both, represented mathematically as \(|\psi\rangle = \alpha |0\rangle + \beta |1\rangle\), where \(|\alpha|^2 + |\beta|^2 = 1\). This property enables quantum computers to perform many calculations at once.

3. **Entanglement**:
   - Entanglement is a quantum phenomenon where two or more qubits become correlated in such a way that the state of one qubit directly affects the state of another, regardless of the distance between them. This correlation can lead to exponentially increased computational power. For instance, measuring one entangled qubit instantly determines the state of the other, a property that can be harnessed for complex computations.

4. **Quantum Gates**:
   - Quantum gates are the fundamental building blocks of quantum circuits, similar to classical logic gates in traditional computing. They manipulate qubits through operations that change their states, enabling quantum algorithms to be executed. Quantum gates can create superposition and entanglement, vital for the functionality of quantum algorithms.

5. **Quantum Algorithms**:
   - There are specific algorithms designed to leverage the power of quantum computing. Some notable examples include:
     - **Shor's Algorithm**: Efficiently factors large numbers, which has significant implications for cryptography.
     - **Grover's Algorithm**: Provides quadratic speedup for unstructured search problems.
     - **Quantum Approximate Optimization Algorithm (QAOA)**: Used for solving combinatorial optimization problems.

### Advantages of Quantum Computing

Quantum computers can potentially outperform classical computers in several areas:

- **Speed**: For specific tasks, particularly those involving large datasets or complex optimizations, quantum computers could solve problems significantly faster than classical computers.
- **Parallelism**: Due to superposition, quantum computers can evaluate multiple possibilities simultaneously.
- **Complex Problem Solving**: Many problems, like integer factorization and simulating quantum systems, are about to be solved more efficiently with quantum algorithms.

### Current State and Challenges

As of now, quantum computing is still in its early stages of development. Several companies and research institutions are actively working on building functional quantum computers, such as Google, IBM, and D-Wave. However, challenges remain:

- **Error Correction**: Qubits are prone to errors due to decoherence and noise, necessitating complex error-correcting codes.
- **Scalability**: Building a large-scale, stable quantum computer requires advancements in technology and materials, as currently available qubit systems are limited in scale.
- **Standardization**: The field is rapidly evolving, but there is no consensus on standards and architectures for quantum computers.

### Applications

Despite the current limitations, potential applications of quantum computing are vast and diverse:

- **Cryptography**: Quantum computing could break widely used encryption schemes but also opens the door to quantum-safe cryptography.
- **Drug Discovery**: Simulating molecular interactions at a quantum level could lead to faster drug discovery processes.
- **Optimization Problems**: Industries can leverage quantum algorithms to optimize supply chains, financial portfolios, and resource management.

In conclusion, quantum computing represents a significant shift in our computational capabilities and has the potential to transform industries by solving problems that are currently intractable for classical computers. As research continues, the realization of functional quantum computers may open up unprecedented opportunities across various fields.",1
Paraphrase the following sentence: 'She enjoys reading books in her free time.',"
1. The paraphrased sentence retains the original meaning of the phrase 'She enjoys reading books in her free time' without altering the intended message.
2. The paraphrased sentence uses different words or structures than the original sentence, demonstrating a clear rephrasing.
3. The paraphrased sentence is grammatically correct and free from spelling errors.
4. The paraphrased sentence maintains the same subject (""she"") and action (""enjoys reading"") while possibly changing the format (e.g., ""In her spare time, she loves to read books"").
","
1. The paraphrased sentence alters the original meaning of the phrase, such as changing the subject or the activity involved.
2. The paraphrased sentence is too similar to the original, with minimal changes that do not constitute a true rephrasing.
3. The paraphrased sentence contains grammatical errors or spelling mistakes that affect clarity and readability.
4. The paraphrased sentence fails to include key elements like subject, verb, or object, resulting in an incomplete thought or unclear statement.
",She likes to read books during her leisure time.,1
"Complete the text with the most appropriate continuation: 'In the future, humans will...'","
1. The continuation provides a coherent and logical prediction about the future of humanity that aligns with current social, technological, or environmental trends.
2. The text is free from grammatical errors, spelling mistakes, and maintains proper sentence structure throughout the continuation.
3. The completion is at least 50 words long, offering a detailed exploration of the prediction rather than a vague or overly simplistic statement.
4. The completed text engages with the reader by using an imaginative or thought-provoking approach, demonstrating creativity and a unique perspective.
5. The output is relevant to the prompt, directly addressing the future implications of human actions or conditions without diverging from the central theme.
","
1. The continuation includes irrelevant or off-topic content that does not relate to the prompt about the future of humanity.
2. The text contains multiple grammatical errors or poorly constructed sentences that hinder comprehension.
3. The response is less than 50 words, indicating a lack of depth or thoroughness in exploring the subject.
4. The completion is vague, lacking specificity, creativity, or original thought, resulting in a generic or clichéd prediction.
5. The output fails to maintain a clear focus, including tangential ideas that deviate from the prompt's intent, thus rendering it ineffective in predicting future scenarios.
","""In the future, humans will likely harness the power of advanced technology to address some of the world's most pressing challenges. Innovations in renewable energy may lead to a sustainable and efficient way of living, while breakthroughs in medicine could extend lifespans and enhance quality of life. As artificial intelligence and automation become more integrated into daily life, humans may focus on creativity, emotional intelligence, and complex problem-solving—skills that machines cannot easily replicate. Society could also see a shift toward more inclusive and equitable systems, enabling greater access to resources and opportunities for all. Ultimately, the future may be characterized by collaboration between humans and technology, leading to a harmonious coexistence that fosters growth, understanding, and advancement.""",1
